w,b,Generation,Error,Mutation
1.734580395,9,94,1144.671855,8
1.708362681,2,521,1207.821546,39
1.605908579,18,70,1202.88968,8
1.742336233,11,425,1152.150169,39
1.631923682,16,731,1186.768699,50
1.661802913,10,1668,1170.624781,128
1.644158332,13,1336,1174.402261,111
1.571585239,19,2098,1215.838818,170
1.634277522,13,2237,1178.468203,196
1.599316277,16,2842,1195.555305,228
1.719142385,16,1439,1197.582286,111
1.995678535,0,1373,1155.372863,91
1.865073778,2,2151,1124.472494,185
1.708307142,16,3271,1193.521372,264
1.990310231,4,413,1203.58986,32
1.725611256,11,182,1151.936715,14
1.844019432,1,2,1128.882412,0
1.955188064,5,813,1186.823996,56
1.604678474,12,2626,1198.769996,208
1.717317042,15,662,1183.977782,49
1.70647592,4,873,1183.393821,86
1.793304918,7,1719,1134.572832,123
1.597128811,14,1618,1196.459165,124
1.754892267,12,673,1162.10394,59
1.600079852,16,2,1195.269709,1
1.742699285,4,835,1156.520568,57
1.631278507,8,190,1208.086264,13
